id,x,y,
489,121583.94418313791,-3695678.99131796,
490,121583.94418313791,-3694678.99131796,
491,121583.94418313791,-3693678.99131796,
492,121583.94418313791,-3692678.99131796,
493,121583.94418313791,-3691678.99131796,
494,121583.94418313791,-3690678.99131796,
495,121583.94418313791,-3689678.99131796,
496,121583.94418313791,-3688678.99131796,
497,121583.94418313791,-3687678.99131796,
498,121583.94418313791,-3686678.99131796,
499,121583.94418313791,-3685678.99131796,
500,121583.94418313791,-3684678.99131796,
501,121583.94418313791,-3683678.99131796,
502,121583.94418313791,-3682678.99131796,
503,121583.94418313791,-3681678.99131796,
504,121583.94418313791,-3680678.99131796,
505,121583.94418313791,-3679678.99131796,
506,121583.94418313791,-3678678.99131796,
507,121583.94418313791,-3677678.99131796,
508,121583.94418313791,-3676678.99131796,
509,121583.94418313791,-3675678.99131796,
510,121583.94418313791,-3674678.99131796,
511,121583.94418313791,-3673678.99131796,
512,121583.94418313791,-3672678.99131796,
513,121583.94418313791,-3671678.99131796,
514,121583.94418313791,-3670678.99131796,
515,121583.94418313791,-3669678.99131796,
516,121583.94418313791,-3668678.99131796,
517,122583.94418313791,-3714678.99131796,
518,122583.94418313791,-3713678.99131796,
519,122583.94418313791,-3712678.99131796,
520,122583.94418313791,-3711678.99131796,
521,122583.94418313791,-3710678.99131796,
522,122583.94418313791,-3709678.99131796,
523,122583.94418313791,-3708678.99131796,
524,122583.94418313791,-3707678.99131796,
525,122583.94418313791,-3706678.99131796,
526,122583.94418313791,-3705678.99131796,
527,122583.94418313791,-3704678.99131796,
528,122583.94418313791,-3703678.99131796,
529,122583.94418313791,-3702678.99131796,
530,122583.94418313791,-3701678.99131796,
531,122583.94418313791,-3700678.99131796,
532,122583.94418313791,-3699678.99131796,
533,122583.94418313791,-3698678.99131796,
534,122583.94418313791,-3697678.99131796,
535,122583.94418313791,-3696678.99131796,
536,122583.94418313791,-3695678.99131796,
537,122583.94418313791,-3694678.99131796,
538,122583.94418313791,-3693678.99131796,
539,122583.94418313791,-3692678.99131796,
540,122583.94418313791,-3691678.99131796,
541,122583.94418313791,-3690678.99131796,
542,122583.94418313791,-3689678.99131796,
543,122583.94418313791,-3688678.99131796,
544,122583.94418313791,-3687678.99131796,
545,122583.94418313791,-3686678.99131796,
546,122583.94418313791,-3685678.99131796,
547,122583.94418313791,-3684678.99131796,
548,122583.94418313791,-3683678.99131796,
549,122583.94418313791,-3682678.99131796,
550,122583.94418313791,-3681678.99131796,
551,122583.94418313791,-3680678.99131796,
552,122583.94418313791,-3679678.99131796,
553,122583.94418313791,-3678678.99131796,
554,122583.94418313791,-3677678.99131796,
555,122583.94418313791,-3676678.99131796,
556,122583.94418313791,-3675678.99131796,
557,122583.94418313791,-3674678.99131796,
558,122583.94418313791,-3673678.99131796,
559,122583.94418313791,-3672678.99131796,
560,122583.94418313791,-3671678.99131796,
561,122583.94418313791,-3670678.99131796,
562,122583.94418313791,-3669678.99131796,
563,122583.94418313791,-3668678.99131796,
564,123583.94418313791,-3714678.99131796,
565,123583.94418313791,-3713678.99131796,
566,123583.94418313791,-3712678.99131796,
567,123583.94418313791,-3711678.99131796,
568,123583.94418313791,-3710678.99131796,
569,123583.94418313791,-3709678.99131796,
570,123583.94418313791,-3708678.99131796,
571,123583.94418313791,-3707678.99131796,
572,123583.94418313791,-3706678.99131796,
573,123583.94418313791,-3705678.99131796,
574,123583.94418313791,-3704678.99131796,
575,123583.94418313791,-3703678.99131796,
576,123583.94418313791,-3702678.99131796,
577,123583.94418313791,-3701678.99131796,
578,123583.94418313791,-3700678.99131796,
579,123583.94418313791,-3699678.99131796,
580,123583.94418313791,-3698678.99131796,
581,123583.94418313791,-3697678.99131796,
582,123583.94418313791,-3696678.99131796,
583,123583.94418313791,-3695678.99131796,
584,123583.94418313791,-3694678.99131796,
585,123583.94418313791,-3693678.99131796,
586,123583.94418313791,-3692678.99131796,
587,123583.94418313791,-3691678.99131796,
588,123583.94418313791,-3690678.99131796,
589,123583.94418313791,-3689678.99131796,
590,123583.94418313791,-3688678.99131796,
591,123583.94418313791,-3687678.99131796,
592,123583.94418313791,-3686678.99131796,
593,123583.94418313791,-3685678.99131796,
594,123583.94418313791,-3684678.99131796,
595,123583.94418313791,-3683678.99131796,
596,123583.94418313791,-3682678.99131796,
597,123583.94418313791,-3681678.99131796,
598,123583.94418313791,-3680678.99131796,
599,123583.94418313791,-3679678.99131796,
600,123583.94418313791,-3678678.99131796,
